username,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
lknkira,6.662679425837321,6.934010152284264,6.768762677484787,7.147590361445783,5.762162162162162,6.654320987654321,5.0,6.653846153846154,7.615384615384615,6.791666666666667,7.869565217391305,6.887755102040816,7.369047619047619,6.591259640102828,6.850931677018633,7.334448160535117,7.318181818181818,6.70952380952381,7.230769230769231
BeatleJews,7.85769230769231,7.924691358024693,7.883333333333334,8.42208588957055,7.630434782608697,7.96153846153846,8.0,8.08235294117647,8.0,8.023456790123456,7.45,8.319230769230769,8.333720930232559,8.333333333333334,8.010169491525424,8.681481481481482,8.375,8.223595505617977,8.111320754716981
BrunoFr23,5.795081967213115,5.801980198019802,5.918128654970761,6.573825503355705,4.625,5.690298507462686,,5.267857142857143,7.4,6.033333333333333,5.727272727272728,6.529761904761905,6.608108108108108,5.869791666666667,5.992537313432836,6.322368421052632,6.333333333333333,6.080188679245283,6.965116279069767
Arikarikita,0.0615916955017301,0.0828828828828828,0.0560975609756097,0.0396313364055299,0.0,0.0,,0.0,,0.2205128205128205,0.0,0.0,0.0,0.0,0.0716666666666666,0.0,0.0,0.0686567164179104,0.0
Lenlo,5.980833333333333,6.241304347826087,6.205921052631579,6.172014925373135,6.064285714285715,5.979259259259259,,5.909375,5.154545454545454,5.135,5.496,6.177884615384615,6.362608695652174,6.294791666666667,5.891150442477876,5.957377049180328,6.976744186046512,5.855882352941177,5.867441860465116
Akma0Syed5,7.596296296296296,7.196078431372549,7.453389830508475,7.662790697674419,7.055555555555555,7.368055555555555,,6.8,6.75,7.5,7.75,7.678571428571429,7.7155172413793105,7.18,7.806122448979591,7.245454545454545,7.676470588235294,7.5054945054945055,7.588235294117647
GleamMaikeru,7.056034482758621,7.121428571428571,6.817567567567568,7.35377358490566,5.78,6.784810126582278,,5.2,6.0,7.4,7.357142857142857,7.054054054054054,7.094594594594595,6.377551020408164,7.0,7.2375,7.0,7.120967741935484,6.705882352941177
imrannasir16,7.94622641509434,8.074999999999998,8.073913043478258,8.04551724137931,8.12857142857143,8.057777777777778,,7.07,,7.641379310344828,8.375,7.998076923076922,8.041666666666666,7.911267605633802,7.740425531914893,7.948387096774194,7.839999999999999,7.852054794520549,8.228
SolidMateus,5.923976608187134,5.325581395348837,4.53968253968254,5.913043478260869,5.318181818181818,5.0256410256410255,2.25,5.948717948717949,7.714285714285714,5.717391304347826,4.428571428571429,6.869565217391305,6.508196721311475,5.0,6.528409090909091,5.2,6.0,6.092307692307692,7.631578947368421
sushiisawesome,4.900351699882767,5.172839506172839,5.168235294117647,5.566428571428571,3.3532608695652173,4.918556701030928,1.3125,3.8781512605042017,4.839285714285714,5.006849315068493,5.329896907216495,5.290441176470588,5.263285024154589,5.080500894454383,4.8998054474708175,5.99875,5.313253012048193,5.245475113122172,5.387096774193548
Lownar,8.107272727272727,8.102857142857143,7.957142857142857,8.275806451612905,7.647058823529411,8.205660377358491,,8.344444444444445,7.0,7.221428571428571,9.5,8.523809523809524,8.272222222222222,7.46470588235294,7.548571428571428,8.01818181818182,7.666666666666667,8.194444444444445,7.985714285714286
CaninnTurtle,7.785534591194965,8.1,7.763551401869162,8.035119047619041,7.943243243243244,7.779816513761464,,7.195652173913044,,7.955,9.05,7.992592592592594,7.847222222222224,7.930973451327434,7.724000000000001,8.009523809523811,8.100000000000001,7.66608695652174,7.792105263157896
Narutonic,6.6503067484662575,6.924050632911392,6.409090909090909,7.162790697674419,5.972972972972973,6.469026548672566,,6.636363636363637,7.5,6.235294117647059,7.0,7.212765957446808,7.468085106382978,6.278350515463917,6.456521739130435,6.823529411764706,8.0,6.827586206896552,7.863636363636363
xDanyul,6.514522821576763,6.613496932515337,6.25,7.023121387283237,5.716981132075472,6.456221198156682,1.0,6.8,9.0,7.214285714285714,6.28,7.201754385964913,7.240384615384615,6.388888888888889,6.511904761904762,6.7430939226519335,6.0,6.860824742268041,7.586956521739131
